index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote,de,en,la,added
9b60e7c6a4ca042ac2ae472c09d28f8d,2026-09-01T12:19:35Z,'Spritpreise',www.n-tv.de,de,0.9,Öl-Deal veröffentlicht : USA sichern sich Zugang zu Venezuelas riesigen Ölreserven,"Nach Maduros umstrittener Verhaftung bleibt offen, was mit Venezuelas riesigen Ölreserven geschieht. Zugleich setzen hohe Spritpreise Trump wegen des Iran-Kriegs innenpolitisch unter Druck. Nun präsentiert seine Regierung Details zu einem Abkommen mit Venezue…",https://www.n-tv.de/politik/USA-sichern-sich-Zugang-zu-Venezuelas-riesigen-Oelreserven-id31255502.html,https://www.n-tv.de/img/31255627/1788262761/Img_16_9/1200/616063864.jpg,http://web.archive.org/web/20260902052950/https://www.n-tv.de/politik/USA-sichern-sich-Zugang-zu-Venezuelas-riesigen-Oelreserven-id31255502.html,"Öl-Deal veröffentlicht USA sichern sich Zugang zu Venezuelas riesigen Ölreserven
Ein Öltanker liegt im venezolanischen Maracaibo-See vor Anker. (Foto: picture alliance/dpa/AP)
Nach Maduros umstritt… [+2791 chars]",,"Öl-Deal veröffentlicht : USA sichern sich Zugang zu Venezuelas riesigen Ölreserven. Nach Maduros umstrittener Verhaftung bleibt offen, was mit Venezuelas riesigen Ölreserven geschieht. Zugleich setzen hohe Spritpreise Trump wegen des Iran-Kriegs innenpolitisch unter Druck. Nun präsentiert seine Regierung Details zu einem Abkommen mit Venezue…","Oil deal published: USA secures access to Venezuela's huge oil reserves. After Maduro's controversial arrest, it remains unclear what will happen to Venezuela's huge oil reserves. At the same time, high fuel prices are putting Trump under domestic political pressure because of the Iran war. Now his government is presenting details of an agreement with Venezuela...",Oleum multum divulgatum: USA accessum ad subsidia ingentis olei Venetiola munit. Post comprehensionem Maduro controversiae lateat quid fiet in subsidiis ingentis olei Venezuela. Eodem tempore pretia altae escae Trump sub pressione domestica propter bellum Iranianum ponunt. Nunc eius regimen singularia pacti cum Venetiola exhibet...,2026-09-02 22:26:38+00:00
da07a2753f2673464ff5bfd13f232441,2026-09-01T17:04:25Z,'Spritpreise',www.faz.net,de,0.9,Fast 40 Prozent E-Autos: Frankreich eilt Deutschland voraus,Auf Frankreichs Straßen fahren immer mehr Elektroautos. Die gestiegenen Spritpreise gelten als ein Kaufargument – entscheidend dürfte aber etwas anderes sein.,https://www.faz.net/aktuell/wirtschaft/unternehmen/frankreich-fuehrt-bei-elektroautos-was-deutschland-fehlt-201178150.html,https://media0.faz.net/image/w1200h627/fecef3e266d8/w7000h3657x0y540o/202607/43601.0.2348935805/viel-verkehr-aber-elektrisch.webp,http://web.archive.org/web/20260901173741/https://www.faz.net/aktuell/wirtschaft/unternehmen/frankreich-fuehrt-bei-elektroautos-was-deutschland-fehlt-201178150.html,In Frankreich kommen immer mehr vollelektrische Autos auf die Straße. Ihr Zulassungsanteil hat den dritten Monat in Folge einen Rekord geknackt. Dies teilte die Plateforme Automobile (PFA) am Diensta… [+4252 chars],,Fast 40 Prozent E-Autos: Frankreich eilt Deutschland voraus. Auf Frankreichs Straßen fahren immer mehr Elektroautos. Die gestiegenen Spritpreise gelten als ein Kaufargument – entscheidend dürfte aber etwas anderes sein.,Almost 40 percent electric cars: France is ahead of Germany. There are more and more electric cars on France's roads. The increased fuel prices are seen as a selling point - but something else may be crucial.,"Fere 40 centesimas currus electricas: Gallia Germaniam praecedit. Plures et plus electrici sunt in viis Franciae. Pretia alimentorum aucta videntur ut punctum venditionis, sed aliquid aliud cruciale potest.",2026-09-02 22:26:38+00:00
c022088a00164a0acab691afd1ad4332,2026-09-01T07:42:00Z,'Elektromobilität',www.welt.de,de,0.9,"„Es wäre wichtig, den Weg in die Elektromobilität weiterzugehen“",Einer Studie der TU München zufolge reduzieren E-Autos den CO2-Ausstoß im Vergleich zu Verbrennern nur um 41 Prozent und sind nicht klimaneutral. Für Autoexperte Ferdinand Dudenhöffer ändert die Studie nichts an der grundsätzlichen Richtung . Er betont: „Das …,https://www.welt.de/wirtschaft/video6a967b7ad32756d4be19afb8/e-autos-oder-verbrenner-es-waere-wichtig-den-weg-in-die-elektromobilitaet-weiterzugehen.html,https://images.welt.de/6a967b7ad32756d4be19afb8/6f1875fdacd67d35f275fef3b94598cc/ci16x9-w1200/dpa-com-260820-936-67005-jpg,http://web.archive.org/web/20260902225309/https://www.welt.de/wirtschaft/video6a967b7ad32756d4be19afb8/e-autos-oder-verbrenner-es-waere-wichtig-den-weg-in-die-elektromobilitaet-weiterzugehen.html,Einer Studie der TU München zufolge reduzieren E-Autos den CO2-Ausstoß im Vergleich zu Verbrennern nur um 41 Prozent und sind nicht klimaneutral. Für Autoexperte Ferdinand Dudenhöffer ändert die Stud… [+184 chars],,"„Es wäre wichtig, den Weg in die Elektromobilität weiterzugehen“. Einer Studie der TU München zufolge reduzieren E-Autos den CO2-Ausstoß im Vergleich zu Verbrennern nur um 41 Prozent und sind nicht klimaneutral. Für Autoexperte Ferdinand Dudenhöffer ändert die Studie nichts an der grundsätzlichen Richtung . Er betont: „Das …","“It would be important to continue on the path to electromobility.” According to a study by the Technical University of Munich, electric cars only reduce CO2 emissions by 41 percent compared to combustion engines and are not climate neutral. For car expert Ferdinand Dudenhöffer, the study does not change the fundamental direction. He emphasizes: “This…","""Est momenti in via ad electromobilitatem pergere."" Secundum studium ab Universitate Technical Munich, currus electrici tantum CO2 emissiones minuunt per 41 centesimas machinarum combustionum comparatas et non sunt caelum neutrum. Nam car peritus Ferdinand Dudenhöffer, studium fundamentale directionem non mutat. Exaggerat: “Hoc…",2026-09-07 03:25:09+00:00
fe1e9ec7aee5ce126fab581e54ad3691,2026-09-03T15:35:02Z,'Elektromobilität',www.golem.de,de,0.9,Anzeige: VoltBox Mobile Wallbox 11kW mit CEE-Adapter jetzt wieder zum Tiefpreis bei Amazon,"Die VoltBox Mobile Wallbox mit 11 kW, CEE-Adapter und verzögertem Laden plus 7 Meter Kabel ist wieder zum Tiefpreis verfügbar. (Elektromobilität, Amazon)",https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https://www.golem.de/news/anzeige-voltbox-mobile-wallbox-11kw-mit-cee-adapter-jetzt-wieder-zum-tiefpreis-bei-amazon-2609-212620.html&referer=https://t.co/9fea48db1c,,,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]",,"Anzeige: VoltBox Mobile Wallbox 11kW mit CEE-Adapter jetzt wieder zum Tiefpreis bei Amazon. Die VoltBox Mobile Wallbox mit 11 kW, CEE-Adapter und verzögertem Laden plus 7 Meter Kabel ist wieder zum Tiefpreis verfügbar. (Elektromobilität, Amazon)","Advertisement: VoltBox Mobile Wallbox 11kW with CEE adapter now again at a low price on Amazon. The VoltBox Mobile Wallbox with 11 kW, CEE adapter and delayed charging plus 7 meter cable is again available at a low price. (Electromobility, Amazon)","Advertisement: VoltBox Mobilis Wallbox 11kW cum CEE adaptor nunc denuo parvo pretio in Amazonibus. VoltBox Mobilis Wallbox cum 11 kW, CEE adaptor et moratus incurrens plus 7 metri cable denuo in promptu est parvo pretio. (Electromobility, Amazon)",2026-09-07 03:25:09+00:00
cb470d35948845465e35bd7d0cb22f1f,2026-09-05T07:20:06Z,'Industrie Klimawandel',www.faz.net,de,0.9,Tödliche Katastrophe: Nepal träumte vom Reichtum durch Wasserkraft. Dann kam die Flut,Mit in den Flüssen des Himalajas produziertem Strom wollte das Land ganz Südasien beliefern. Nun zeigt sich: Die Kraftwerke halten dem Klimawandel nicht stand.,https://www.faz.net/aktuell/wirtschaft/mehr-wirtschaft/nepals-wasserkraft-flutkatastrophe-zerstoert-den-traum-accg-201179320.html,https://media0.faz.net/image/w1200h627/cfd6f3514303/w1982h1035x0y40o/202609/43601.0.2492538132/muehsame-arbeit.webp,http://web.archive.org/web/20260905173706/https://www.faz.net/aktuell/wirtschaft/mehr-wirtschaft/nepals-wasserkraft-flutkatastrophe-zerstoert-den-traum-accg-201179320.html,"An Nepals Trishuli-Fluss, 70 Kilometer nordwestlich der Hauptstadt Kathmandu, steht ein Hoffnungsträger eines der ärmsten Länder der Welt. Das Wasser, das einst als Schnee und Eis im tibetischen Hoch… [+7750 chars]",,Tödliche Katastrophe: Nepal träumte vom Reichtum durch Wasserkraft. Dann kam die Flut. Mit in den Flüssen des Himalajas produziertem Strom wollte das Land ganz Südasien beliefern. Nun zeigt sich: Die Kraftwerke halten dem Klimawandel nicht stand.,Deadly disaster: Nepal dreamed of wealth through hydropower. Then the flood came. The country wanted to supply the whole of South Asia with electricity produced in the rivers of the Himalayas. Now it is clear that the power plants cannot withstand climate change.,Funesta clade: Nepal opes per hydropower somniavit. Tunc diluvium factum est. Patria totam Asiam Meridionalem cum electricitate in fluminibus Himalayarum productis supplere voluit. Manifestum est autem quod potentiae plantarum mutationem climatis sustinere non possunt.,2026-09-08 09:25:42+00:00
a01ed48ea9c60c76e309755a2418e115,2026-09-07T05:43:45Z,'Industrie Klimawandel',www.zeit.de,de,0.9,Weltwetterorganisation: Hitzewellen und Brände verstärken Luftverschmutzung,Luftverschmutzung und Klimawandel hängen eng miteinander zusammen. Höhere Ozon- und Feinstaubwerte durch extreme Temperaturen und Brände verschlechtern die Luftqualität.,https://www.zeit.de/wissenschaft/umwelt/2026-09/luftverschmutzung-hitzewellen-waldbraende-feinstaub-ozon-gxe,https://img.zeit.de/wissenschaft/umwelt/2026-09/luftverschmutzung-hitzewellen-waldbraende-feinstaub-ozon-bild/wide__1300x731,http://web.archive.org/web/20260908073753/https://www.zeit.de/wissenschaft/umwelt/2026-09/luftverschmutzung-hitzewellen-waldbraende-feinstaub-ozon-gxe,"Nach einem Bericht der Weltwetterorganisation
(WMO) wirken sich Hitzewellen und Waldbrände auch in Europa negativ auf die
Luftqualität aus. Der Klimawandel könnte die weltweiten Bemühungen zur
Ver… [+2845 chars]",,Weltwetterorganisation: Hitzewellen und Brände verstärken Luftverschmutzung. Luftverschmutzung und Klimawandel hängen eng miteinander zusammen. Höhere Ozon- und Feinstaubwerte durch extreme Temperaturen und Brände verschlechtern die Luftqualität.,World Weather Organization: Heat waves and fires increase air pollution. Air pollution and climate change are closely linked. Higher ozone and particulate matter levels caused by extreme temperatures and fires worsen air quality.,Tempestas Mundi Organization: Fluctus aestus et ignes aeris pollutione augent. Caeli pollutio et mutatio climatis arcte inter se coniunguntur. Ozona superiora et gradus particulares causantur per extremas temperaturas et ignes aeris qualitatem peior.,2026-09-08 09:25:42+00:00
0b2600db8ad300f0a9fe7d014fb8d2b7,2026-09-07T10:51:46Z,'Klimawandel',kaernten.orf.at,de,0.9,Alltagsfitte Mobilität gegen den Klimawandel,"Der Verkehr ist als einer der größten Co2-Emittenten ein Hauptverursacher des Klimawandels. Die Frage, wie Mobilität in Kärnten nachhaltiger und gleichzeitig alltagstauglich gestaltet werden kann, ist damit hochrelevant: Zukunftsfitte Antworten liefern Projek…",https://kaernten.orf.at/stories/3370162/,https://ibs.orf.at/ktn?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2026%2F37%2F61%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F3174450_master_1230961_postbus.jpg%3Fs%3D101d7e6eabd8e1f97f0b433fd79af38f6930e1ba,,"Ein Sommer wie damals? Ganz im Gegenteil. Hohe Temperaturen schon im Mai und Juni, die meisten Hitzetage und viele Tropennächte Kärnten hat den heißesten Sommer seit Messbeginn hinter sich, wobei sic… [+3781 chars]",,"Alltagsfitte Mobilität gegen den Klimawandel. Der Verkehr ist als einer der größten Co2-Emittenten ein Hauptverursacher des Klimawandels. Die Frage, wie Mobilität in Kärnten nachhaltiger und gleichzeitig alltagstauglich gestaltet werden kann, ist damit hochrelevant: Zukunftsfitte Antworten liefern Projek…","Mobility suitable for everyday use against climate change. As one of the largest CO2 emitters, transport is a main cause of climate change. The question of how mobility in Carinthia can be made more sustainable and at the same time suitable for everyday use is therefore highly relevant: Projects provide future-fit answers...","Mobilitas apta usui quotidiano contra mutationem climatis. Cum una maximarum CO2 emittentium, oneraria causa principalis est mutationis climatis. Quaestio quomodo mobilitas in Carinthia magis sustineri possit et simul usui cotidiano aptum, maxime ad rem pertinet: Consilia futura responsa apta praebent...",2026-09-08 18:23:16+00:00
31d41a19db73d072179f2d5f6ca053f2,2026-09-03T12:10:21Z,'Spritpreise',www.welt.de,de,0.9,"Jetzt Sprit, dann Gas, später Strom – diese Charts prophezeien den Energiepreis-Schock","Die Spritpreise erreichen sicht- und spürbare Rekorde. Doch der eigentliche Schock entsteht an anderer Stelle. Die Gasnotierungen steigen dramatisch, die Speicher sind halb leer, und der Strompreis klettert im Gleichlauf mit.",https://www.welt.de/finanzen/plus6a9843e43ae913be367b6e13/jetzt-sprit-dann-gas-spaeter-strom-diese-charts-prophezeien-den-energiepreis-schock.html,https://images.welt.de/6a9843e43ae913be367b6e13/3a7ca073894fd147f2d3850f0a070e0c/ci16x9-w1200/dwosb-teaser-energiepreise-jb-jpg,http://web.archive.org/web/20260903131904/https://www.welt.de/finanzen/plus6a9843e43ae913be367b6e13/jetzt-sprit-dann-gas-spaeter-strom-diese-charts-prophezeien-den-energiepreis-schock.html,"Die Spritpreise erreichen sicht- und spürbare Rekorde. Doch der eigentliche Schock entsteht an anderer Stelle. Die Gasnotierungen steigen dramatisch, die Speicher sind halb leer, und der Strompreis k… [+25 chars]",,"Jetzt Sprit, dann Gas, später Strom – diese Charts prophezeien den Energiepreis-Schock. Die Spritpreise erreichen sicht- und spürbare Rekorde. Doch der eigentliche Schock entsteht an anderer Stelle. Die Gasnotierungen steigen dramatisch, die Speicher sind halb leer, und der Strompreis klettert im Gleichlauf mit.","Now fuel, then gas, later electricity – these charts predict the energy price shock. Fuel prices are reaching visible and tangible records. But the real shock comes elsewhere. Gas prices are rising dramatically, storage facilities are half empty, and the price of electricity is rising at the same time.","Nunc cibus, tunc gas, postea electricitatem – haec chartis vim pretii concussionem praedicunt. Pretia escae visibilia et tangibilia monumenta attingunt. Sed ipsa alibi concussa venit. Pretia gasorum obturbat oriuntur, facilities repono media vacua sunt, et pretium electricitatis simul oritur.",2026-09-12 13:24:21+00:00
7638f20d39526ae89f82303f59fc94b8,2026-09-03T12:10:21Z,'Spritpreise',www.welt.de,de,0.9,Der Winter naht – und Deutschland droht der nächste Energiepreis-Schock,"Die Spritpreise erreichen in diesen Tagen sicht- und spürbare Rekorde. Doch der eigentliche Energiekosten-Schock entsteht an anderer Stelle. WELT zeigt, was auf Verbraucher zukommt.",https://www.welt.de/finanzen/plus6a9843e43ae913be367b6e13/jetzt-sprit-dann-gas-und-strom-diese-charts-prophezeien-den-deutschen-energiepreis-schock.html,https://images.welt.de/6a9843e43ae913be367b6e13/3693e3425b5ecf4d837bcf978126412d/ci16x9-w1200/3832087-jpg,http://web.archive.org/web/20260904060750/https://www.welt.de/finanzen/plus6a9843e43ae913be367b6e13/jetzt-sprit-dann-gas-und-strom-diese-charts-prophezeien-den-deutschen-energiepreis-schock.html,Die WELT als ePaper: Die vollständige Ausgabe steht Ihnen bereits am Vorabend zur Verfügung so sind Sie immer hochaktuell informiert. Weitere Informationen https://epaper.welt.de,,"Der Winter naht – und Deutschland droht der nächste Energiepreis-Schock. Die Spritpreise erreichen in diesen Tagen sicht- und spürbare Rekorde. Doch der eigentliche Energiekosten-Schock entsteht an anderer Stelle. WELT zeigt, was auf Verbraucher zukommt.",Winter is approaching – and Germany is threatened with the next energy price shock. Fuel prices are reaching visible and tangible records these days. But the actual energy cost shock arises elsewhere. WELT shows what awaits consumers.,Hiems appropinquat – et Germania proxima vis pretii concussa est comminata. Pretia escae visibilia et tangibilia his diebus monumenta attingunt. Sed ipsa vis sumptus concursu alibi oritur. LIMUS ostendit quid sumitur exspectet.,2026-09-12 13:24:21+00:00
a45db942e69f6ce2c67e512269e3f6d2,2026-09-03T14:34:33Z,'Spritpreise',www.bild.de,de,0.9,Autofahrern drohen weitere Preissprünge - Spritpreis-Rekord! Wie teuer es noch wird,"Experten warnen vor weiter steigenden Spritpreisen bis 2,50 Euro je Liter.",https://www.bild.de/politik/inland/spritpreis-rekord-autofahrern-drohen-weitere-preisspruenge-6a99466f240b302c8a837c6a,"https://images.bild.de/6a99466f240b302c8a837c6a/d6acf62eb428d1acd4746ea3a1f3f014,cf888f1e?w=1280",http://web.archive.org/web/20260904014823/https://www.bild.de/politik/inland/spritpreis-rekord-autofahrern-drohen-weitere-preisspruenge-6a99466f240b302c8a837c6a,"TTS-Player überspringenArtikel weiterlesenBerlin Super E10 kostet so viel wie noch nie. Am Mittwoch lag der bundesweite Tagesdurchschnitt bei 2,215 Euro je Liter. Eine 50-Liter-Tankfüllung kostet dam… [+2123 chars]",,"Autofahrern drohen weitere Preissprünge - Spritpreis-Rekord! Wie teuer es noch wird. Experten warnen vor weiter steigenden Spritpreisen bis 2,50 Euro je Liter.",Drivers are threatened with further price jumps - record fuel prices! How expensive it will be. Experts warn of further increases in fuel prices of up to 2.50 euros per liter.,Exactores minati sunt cum ulteriore pretio salit - record cibus pretia! Quam pretiosa erit. Periti monent adhuc augeri pretia escarum usque ad 2.50 nummos per sextarium.,2026-09-12 13:24:21+00:00
